Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
118;-3.7510780083;-3.7542768000;0.0031987917;280;0.1792000000;1;Да
119;-5.4541580445;-5.4584688000;0.0043107555;120;0.0733000000;2;Да
120;-4.8961227956;-4.8965694000;0.0004466044;600;0.3819000000;1;Да
121;-3.6070277582;-3.6104093000;0.0033815418;80;0.0537000000;1;Да
122;-5.4907384283;-5.4907594000;0.0000209717;320;0.2668000000;1;Да
123;-3.8921542126;-3.8955468000;0.0033925874;120;0.2669000000;1;Да
124;-5.9423920285;-5.9426632000;0.0002711715;280;0.1721000000;1;Да
125;-4.8729448737;-4.8730101000;0.0000652263;240;0.2763000000;1;Да
126;-3.2817860194;-3.2880810000;0.0062949806;440;0.3189000000;1;Да
127;-5.5361683873;-5.5362072000;0.0000388127;280;0.2489000000;2;Да
128;-6.5394786430;-6.5456396000;0.0061609570;280;0.2715000000;1;Да
129;-4.9809826622;-4.9900539000;0.0090712378;400;0.2366000000;1;Да
130;-7.1623697858;-7.1682661000;0.0058963142;80;0.0338000000;1;Да
131;-4.2209418552;-4.2212301000;0.0002882448;600;0.2587000000;1;Да
132;-6.5082843345;-6.5098920000;0.0016076655;440;0.2630000000;1;Да
133;-5.0756726447;-5.0760431000;0.0003704553;120;0.0627000000;1;Да
134;-5.5643770245;-5.5649985000;0.0006214755;520;0.2862000000;1;Да
135;-4.8237837709;-4.8331092000;0.0093254291;400;0.1868000000;1;Да
136;-3.7233927127;-3.7235125000;0.0001197873;400;0.1588000000;1;Да
137;-6.1533600170;-6.1538582000;0.0004981830;280;0.2962000000;1;Да
138;-5.3523110140;-5.3558916000;0.0035805860;240;0.1091000000;1;Да
139;-3.2265657247;-3.2297067000;0.0031409753;80;0.0435000000;1;Да
140;-3.9193929258;-3.9194675000;0.0000745742;400;0.1566000000;1;Да
141;-3.2838355345;-3.2838907000;0.0000551655;120;0.1355000000;1;Да
142;-5.4722198089;-5.4722482000;0.0000283911;440;0.1888000000;2;Да
143;-4.7959014955;-4.7984119000;0.0025104045;80;0.0381000000;1;Да
144;-5.3393466557;-5.3486119000;0.0092652443;80;0.0778000000;1;Да
145;-4.4875121985;-4.4972077000;0.0096955015;120;0.1943000000;1;Да
146;-5.3542477743;-5.3602426000;0.0059948257;400;0.2700000000;1;Да
147;-5.9132505717;-5.9229959000;0.0097453283;160;0.0839000000;1;Да
148;-5.3537035641;-5.3537066000;0.0000030359;200;0.0994000000;1;Да
149;-3.4377940149;-3.4431499000;0.0053558851;80;0.2301000000;1;Да
150;-3.8853264788;-3.8922387000;0.0069122212;480;0.4457000000;1;Да
151;-5.4649705831;-5.4667091000;0.0017385169;360;0.1632000000;1;Да
152;-3.9744817867;-3.9796987000;0.0052169133;440;0.3170000000;1;Да
153;-4.5368743155;-4.5372862000;0.0004118845;160;0.0772000000;1;Да
154;-3.8836611431;-3.8859651000;0.0023039569;400;0.2972000000;1;Да
155;-5.0872952125;-5.0893508000;0.0020555875;440;0.2300000000;1;Да
156;-4.1916312465;-4.1937818000;0.0021505535;520;0.2783000000;1;Да
157;-5.7221417420;-5.7242141000;0.0020723580;160;0.1085000000;1;Да
158;-3.5992863627;-3.6034874000;0.0042010373;360;0.2007000000;1;Да
159;-3.2960690221;-3.2961707000;0.0001016779;80;0.0465000000;1;Да
160;-5.4721468757;-5.4771980000;0.0050511243;440;0.3352000000;1;Да
161;-5.4105966452;-5.4125325000;0.0019358548;280;0.1609000000;1;Да
162;-4.3439113651;-4.3439875000;0.0000761349;320;0.2007000000;1;Да
163;-3.8919625935;-3.8954485000;0.0034859065;440;0.3013000000;1;Да
164;-5.2835533653;-5.2932302000;0.0096768347;320;0.2137000000;1;Да
165;-3.9482552273;-3.9484023000;0.0001470727;160;0.1847000000;1;Да
166;-2.6892909403;-2.6904654000;0.0011744597;80;0.1673000000;1;Да
167;-4.0353811620;-4.0393216000;0.0039404380;120;0.2054000000;1;Да
168;-5.0036774973;-5.0135719000;0.0098944027;280;0.1608000000;1;Да
169;-3.7855709624;-3.7887779000;0.0032069376;320;0.1838000000;1;Да
170;-4.0251260721;-4.0284094000;0.0032833279;280;0.2445000000;1;Да
171;-4.8931573390;-4.8936735000;0.0005161610;360;0.3358000000;1;Да
172;-4.6969439862;-4.7021692000;0.0052252138;280;0.2509000000;1;Да
173;-5.6645425653;-5.6646991000;0.0001565347;80;0.0713000000;1;Да
174;-3.2118637124;-3.2141539000;0.0022901876;560;0.5067000000;1;Да
175;-5.0799179555;-5.0835873000;0.0036693445;400;0.2395000000;1;Да
176;-4.7425439686;-4.7492975000;0.0067535314;600;0.3853000000;1;Да
177;-6.3256845460;-6.3263771000;0.0006925540;160;0.0989000000;1;Да
178;-5.6544035497;-5.6558356000;0.0014320503;200;0.1175000000;1;Да
179;-6.7823544533;-6.7882112000;0.0058567467;320;0.2305000000;1;Да
180;-4.8636223558;-4.8636811000;0.0000587442;200;0.1717000000;1;Да
181;-5.7543846358;-5.7620165000;0.0076318642;240;0.1739000000;1;Да
182;-5.3245474355;-5.3332806000;0.0087331645;560;0.2559000000;2;Да
183;-3.6616769592;-3.6662118000;0.0045348408;240;0.0987000000;2;Да
184;-4.1976266608;-4.1977359000;0.0001092392;400;0.1550000000;1;Да
185;-6.6991186356;-6.7018437000;0.0027250644;400;0.1537000000;1;Да
186;-6.5914581688;-6.5922935000;0.0008353312;640;0.2554000000;1;Да
187;-4.2148500831;-4.2209198000;0.0060697169;360;0.1526000000;1;Да
188;-3.6975926916;-3.7010561000;0.0034634084;280;0.1053000000;1;Да
189;-3.7402296224;-3.7402607000;0.0000310776;360;0.1677000000;1;Да
190;-4.2061056676;-4.2132357000;0.0071300324;120;0.0651000000;1;Да
191;-4.2890882743;-4.2940125000;0.0049242257;200;0.1215000000;1;Да
192;-4.4005297272;-4.4044338000;0.0039040728;80;0.0702000000;1;Да
193;-4.5696560116;-4.5710972000;0.0014411884;640;0.2615000000;1;Да
194;-4.1893837451;-4.1903546000;0.0009708549;160;0.1422000000;1;Да
195;-5.4460250477;-5.4481775000;0.0021524523;440;0.1647000000;1;Да
196;-5.6534470770;-5.6548656000;0.0014185230;520;0.4472000000;1;Да
197;-4.9332094727;-4.9332774000;0.0000679273;360;0.1333000000;1;Да
198;-6.1026337293;-6.1053727000;0.0027389707;320;0.1169000000;1;Да
199;-4.4003957889;-4.4037066000;0.0033108111;200;0.0753000000;1;Да
200;-4.6483228961;-4.6503997000;0.0020768039;80;0.0348000000;1;Да
201;-4.8554114494;-4.8639852000;0.0085737506;360;0.1443000000;1;Да
202;-4.4525223398;-4.4526154000;0.0000930602;400;0.1505000000;1;Да
203;-4.3030171854;-4.3055326000;0.0025154146;280;0.1051000000;1;Да
204;-3.2740822415;-3.2741679000;0.0000856585;600;0.2237000000;1;Да
205;-4.6796769066;-4.6820768000;0.0023998934;480;0.1922000000;1;Да
